, Brand , Model Name , Screen Size , Colour , Hard Disk Size , CPU Model , RAM Memory Installed Size , Operating System , Special Feature , Graphics Card Description ,Price, Graphics Coprocessor , CPU Speed , Hard Disk Description , Item Weight , Connectivity Technology , Graphics Processor Manufacturer , Resolution , Total USB Ports , Processor Count , CPU Manufacturer , Human Interface Input , Form Factor 
101, Lenovo , Lenovo ThinkPad , 14 Inches ,, 256 GB , Intel Core i5 , 8 GB , Windows , Touchscreen , Integrated ,"₹20,499.00",, 2.3 GHz ,,,,,,,,,,
102, HP , 15-eg3026TU , 39.6 Centimetres , Natural Silver , 512 GB , Core i5 , 16 GB , Windows 11 Home ," Fingerprint Reader, FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare ", Integrated ,"₹73,990.00",,,,,,,,,,,,
103, Dell , 5490-cr , 14 Inches , Black , 1 TB , Core i5 Family , 16 GB , Windows 10 Pro ," Anti Glare Screen, Thin ", Integrated ,"₹27,839.00",,,,,,,,,,,,
104, Lenovo , V15 , 15 Centimetres , Gray , 512 GB , AMD Ryzen 5 5500U , 8 GB , DOS ,, Integrated ,"₹38,499.00", AMD Radeon Graphics ,,,,,,,,,,,
105, ASUS , Vivobook 15 (2023) , 15.6 Inches , Quiet Blue , 512 GB , Core i3 , 8 GB , Windows 11 Home , Backlit Keyboard , Integrated ,"₹45,990.00",,,,,,,,,,,,
106, Lenovo , Thinkpad T460 , 14 Inches , Black , 256 GB , Core i5 , 16 GB , DOS , Numeric Keypad , Integrated ,"₹18,498.00",,,,,,,,,,,,
107, HP , HP Laptop 15s-eq2144AU , 15.6 Inches , Natural Silver , 512 GB , AMD Ryzen 5 5500U , 8 GB , Windows 11 ," Micro Edge, Anti Glare, Dual Speakers, Built in Alexa, Multi Touch Gesture, Lightweight ", Integrated ,"₹44,490.00",,,,,,,,,,,,
108, ASUS , Vivobook Pro 15 OLED , 15.6 Inches ,, 512 GB , Ryzen 5 , 16 GB , Windows 11 Home ," Light Weight, Thin ", Dedicated ,"₹75,960.00",, 4.2 GHz ,,,,,,,,,,
109, HP , 14s- fy1005AU , 14 Inches , Natural Silver , 512 GB , AMD Ryzen 7 5700U , 16 GB , Windows 11 Home ," Full HD, Micro-Edge Display ", Integrated ,"₹59,990.00",,,,,,,,,,,,
110, Dell , 3380-cr , 13.3 Inches , Grey , 256 GB , Core i5 Family , 16 GB , Windows 10 Pro , Thin , Integrated ,"₹18,499.00",,,,,,,,,,,,
111, Lenovo , Thinkpad , 14 Inches , Black , 500 GB , Core i5 , 4 GB , Windows 7 , HD Audio , Integrated ,"₹13,340.00",,,,,,,,,,,,
112, Lenovo , Lenovo Ideapad Duet Chromebook , 25.65 Centimetres , Gray , 128 GB ,, 4 GB , Chrome OS , E-Mail , Integrated ,"₹25,999.00", MediaTek ,,,,,,,,,,,
113, Lenovo , L13 , 14 Inches ,, 256 GB , Core i5 6200U , 8 GB , Windows 10 Pro , HDMI , Integrated ,"₹19,490.00",, 2.5 GHz ,,,,,,,,,,
114, Dell , Dell Latitude-cr , 12.5 Inches ,, 256 GB , Intel Core i5 , 8 GB , Windows 10 ," Webcam, Light Weight, Thin ", Integrated ,"₹17,990.00", Intel® HD Graphics 5500 ,,,,,,,,,,,
115, Lenovo , V15 , 15.6 Inches ,, 512 GB , Ryzen 5 5500U , 8 GB , Windows ," Anti Glare Screen, Light Weight, Thin ", Integrated ,"₹38,490.00", AMD Radeon Graphics ,,,,,,,,,,,
